Tournament,Course,Date,POS,PLAYER,TOTAL,THRU,ROUND,R1,R2,R3,STROKES,R4,PROJ.,STARTING
Grant Thornton Invitational,Tiburón Golf Club,DEC 13 - 15,1,Tavatanakit / Knapp,-27,F,-7,58,66,65,189,,,
Grant Thornton Invitational,Tiburón Golf Club,DEC 13 - 15,2,Thitikul / Kim,-26,F,-8,62,64,64,190,,,
Grant Thornton Invitational,Tiburón Golf Club,DEC 13 - 15,3,Kupcho / Bhatia,-25,F,-8,59,68,64,191,,,
Grant Thornton Invitational,Tiburón Golf Club,DEC 13 - 15,4,Henderson / Conners,-24,F,-10,59,71,62,192,,,
Grant Thornton Invitational,Tiburón Golf Club,DEC 13 - 15,5,Boutier / Pavon,-21,F,-7,63,67,65,195,,,
Grant Thornton Invitational,Tiburón Golf Club,DEC 13 - 15,6,Ko / Day,-20,F,-5,62,67,67,196,,,
Grant Thornton Invitational,Tiburón Golf Club,DEC 13 - 15,T7,Coughlin / Young,-19,F,-7,63,69,65,197,,,
Grant Thornton Invitational,Tiburón Golf Club,DEC 13 - 15,T7,Lee / Greyserman,-19,F,-5,64,66,67,197,,,
Grant Thornton Invitational,Tiburón Golf Club,DEC 13 - 15,T9,Khang / Kuchar,-18,F,-10,64,72,62,198,,,
Grant Thornton Invitational,Tiburón Golf Club,DEC 13 - 15,T9,Stark / Poston,-18,F,-7,61,72,65,198,,,
Grant Thornton Invitational,Tiburón Golf Club,DEC 13 - 15,T11,Vu / List,-17,F,-8,63,72,64,199,,,
Grant Thornton Invitational,Tiburón Golf Club,DEC 13 - 15,T11,Corpuz / Theegala,-17,F,-5,61,71,67,199,,,
Grant Thornton Invitational,Tiburón Golf Club,DEC 13 - 15,13,Korda / Berger,-16,F,-5,63,70,67,200,,,
Grant Thornton Invitational,Tiburón Golf Club,DEC 13 - 15,14,Thompson / Fowler,-13,F,-5,63,73,67,203,,,
Grant Thornton Invitational,Tiburón Golf Club,DEC 13 - 15,15,Reid / Champ,-12,F,-3,66,69,69,204,,,
Grant Thornton Invitational,Tiburón Golf Club,DEC 13 - 15,16,Ruffels / Dunlap,-11,F,-8,65,76,64,205,,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,1,Lanto Griffin,-9,F,-7,67,72,69,271,63,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,2,Hayden Buckley,-6,F,-3,68,72,67,274,67,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,3,Takumi Kanaya,-5,F,-1,68,70,68,275,69,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T4,Alejandro Tosti,-4,F,-4,71,74,65,276,66,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T4,Will Chandler,-4,F,-4,71,72,67,276,66,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T4,Matthew Riedel,-4,F,+2,68,69,67,276,72,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,7,Alistair Docherty,-3,F,+3,71,66,67,277,73,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T8,Kensei Hirata,-2,F*,-6,69,74,71,278,64,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T8,Nick Watney,-2,F,-5,72,69,72,278,65,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T8,Adrien Dumont de Chassart,-2,F,-3,73,71,67,278,67,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T8,Jin Chung,-2,F,-3,69,70,72,278,67,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T8,S.Y. Noh,-2,F,-3,76,67,68,278,67,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T8,Grant Hirschman,-2,F,+1,68,73,66,278,71,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T14,Seung-taek Lee,-1,F,-4,71,71,71,279,66,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T14,Johnny Keefer,-1,F,-4,68,74,71,279,66,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T14,Tyler Duncan,-1,F,-3,68,75,69,279,67,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T14,Joe Weiler,-1,F,-1,69,70,71,279,69,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T14,Corey Shaun,-1,F,+2,61,76,70,279,72,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T19,Matt NeSmith,E,F,-3,69,71,73,280,67,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T19,Austin Smotherman,E,F*,-4,68,75,71,280,66,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T19,Ian Holt,E,F*,-4,71,72,71,280,66,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T19,Tommy Gainey,E,F,-1,76,67,68,280,69,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T19,Christo Lamprecht,E,F,-1,71,71,69,280,69,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T19,Nate Stember,E,F,+1,68,72,69,280,71,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T19,Pierceson Coody,E,F,-3,76,73,64,280,67,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T26,Rayhan Thomas,+1,F,-2,70,72,71,281,68,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T26,Doc Redman,+1,F,-2,68,75,70,281,68,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T26,Zach James,+1,F,-1,74,70,68,281,69,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T26,Nick Gabrelcik,+1,F,-1,69,72,71,281,69,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T26,MJ Daffue,+1,F,-1,71,70,71,281,69,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T26,Nicolo Galletti,+1,F,-1,70,73,69,281,69,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T26,Jonas Baumgartner,+1,F,-5,73,73,70,281,65,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T26,Chase Sienkiewicz,+1,F,-4,71,76,68,281,66,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T26,Hank Lebioda,+1,F,-2,74,72,67,281,68,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T26,John Greco,+1,F,+4,70,70,67,281,74,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T36,Austin Cook,+2,F*,-2,68,73,73,282,68,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T36,Zack Fischer,+2,F,E,69,70,73,282,70,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T36,James Nicholas,+2,F*,-5,74,69,74,282,65,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T36,Caleb VanArragon,+2,F,-4,77,70,69,282,66,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T36,Sudarshan Yellamaraju,+2,F,+2,72,71,67,282,72,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T36,Harry Hillier,+2,F,+2,73,68,69,282,72,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T36,Robby Shelton,+2,F,+1,74,73,64,282,71,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T43,Brandon Berry,+3,F,E,72,70,71,283,70,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T43,Emilio Gonzalez,+3,F*,-1,73,73,68,283,69,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T43,Marcelo Rozo,+3,F*,-2,72,74,69,283,68,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T43,Marcus Plunkett,+3,F,+2,71,70,70,283,72,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T43,Sangmoon Bae,+3,F,+2,70,72,69,283,72,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T43,Will Cannon,+3,F*,-5,72,72,74,283,65,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T43,Cole Sherwood,+3,F,-2,76,73,66,283,68,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T50,Paul Barjon,+4,F,+1,70,70,73,284,71,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T50,Samuel Anderson,+4,F,+1,71,71,71,284,71,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T50,Austin Hitt,+4,F*,E,74,69,71,284,70,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T50,Spencer Ralston,+4,F,+1,72,72,69,284,71,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T50,Andi Xu,+4,F,-4,74,72,72,284,66,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T50,Justin Suh,+4,F,-4,72,75,71,284,66,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T50,Cody Blick,+4,F,+2,71,74,67,284,72,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T50,Jeremy Gandon,+4,F*,-1,73,71,71,284,69,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T50,Ross Steelman,+4,F*,-1,69,76,70,284,69,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T50,Tyson Alexander,+4,F,-2,74,74,68,284,68,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T50,Joseph Bramlett,+4,F,-2,72,74,70,284,68,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T50,Brandon Hoelzer,+4,F,-2,74,74,68,284,68,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T50,Sandy Scott,+4,F,E,74,73,67,284,70,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T50,Kyle Westmoreland,+4,F,+1,72,76,65,284,71,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T64,Ben Taylor,+5,F,+2,71,70,72,285,72,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T64,Runchanapong Youprayong,+5,F*,+1,71,73,70,285,71,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T64,Richy Werenski,+5,F*,+1,66,74,74,285,71,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T64,Gavin Cohen,+5,F,-3,77,72,69,285,67,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T64,Raul Pereda,+5,F*,-1,73,69,74,285,69,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T64,Tanner Napier,+5,F*,-1,70,75,71,285,69,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T64,"Blaine Hale, Jr.",+5,F*,-1,71,74,71,285,69,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T64,Luke Guthrie,+5,F*,-2,71,72,74,285,68,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T72,Rhein Gibson,+6,F,+3,70,74,69,286,73,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T72,Roberto Díaz,+6,F*,+2,71,71,72,286,72,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T72,Billy Tom Sargent,+6,F,-3,73,76,70,286,67,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T72,Jack Maguire,+6,F,+3,73,71,69,286,73,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T72,Dylan Menante,+6,F*,+2,72,74,68,286,72,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T72,Callum Tarren,+6,F*,+1,67,77,71,286,71,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T72,Wilson Furr,+6,F*,+1,69,77,69,286,71,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T72,Thomas Longbella,+6,F*,E,70,73,73,286,70,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T72,Drew Doyle,+6,F*,E,72,72,72,286,70,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T72,Jeffrey Kang,+6,F*,-1,70,72,75,286,69,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T72,Luke Gifford,+6,F*,-1,74,70,73,286,69,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T72,Davis Shore,+6,F,+1,72,74,69,286,71,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T72,Bryce Lewis,+6,F,+1,71,75,69,286,71,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T72,Tom Whitney,+6,F,+2,70,76,68,286,72,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T72,Derek Bard,+6,F,+1,73,75,67,286,71,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T72,Dan McCarthy,+6,F,+2,73,73,68,286,72,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T88,Myles Creighton,+7,F,-3,74,77,69,287,67,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T88,Carl Yuan,+7,F*,-3,74,72,74,287,67,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T88,Brendon Jelley,+7,F,-1,71,75,72,287,69,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T88,Bryson Nimmer,+7,F*,+2,71,74,70,287,72,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T88,Kevin Dougherty,+7,F,E,74,73,70,287,70,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T88,Chez Reavie,+7,F*,-5,69,79,74,287,65,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T88,Cameron Huss,+7,F,+1,73,73,70,287,71,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T88,Dawson Armstrong,+7,F*,-1,71,72,75,287,69,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T96,Connor Howe,+8,F,-2,72,75,73,288,68,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T96,Sebastian Szirmak,+8,F*,-3,78,75,68,288,67,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T96,Ryan Burnett,+8,F,E,73,75,70,288,70,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T96,Brett White,+8,F,+1,73,75,69,288,71,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T96,Ryan Hall,+8,F,+1,74,74,69,288,71,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T96,Luis Gerardo Garza,+8,F,+6,68,75,69,288,76,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T96,Charles Huntzinger,+8,F*,-5,81,73,69,288,65,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T96,Clay Feagler,+8,F*,+1,68,76,73,288,71,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T96,Matthew Anderson,+8,F,+3,73,74,68,288,73,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T96,Kyle Cottam,+8,F*,-9,76,75,76,288,61,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T96,S.H. Kim,+8,F*,E,72,73,73,288,70,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T96,Petr Hruby,+8,F*,E,70,76,72,288,70,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T96,Thomas Walsh,+8,F*,-3,71,75,75,288,67,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T109,Pontus Nyholm,+9,F*,-2,72,79,70,289,68,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T109,Ryan Brehm,+9,F*,-2,74,72,75,289,68,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T109,Travis Trace,+9,F,+2,73,74,70,289,72,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T109,Ben Carr,+9,F,+2,73,76,68,289,72,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T109,Chris Crawford,+9,F*,+1,76,68,74,289,71,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T109,Evan Brown,+9,F*,+1,72,72,74,289,71,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T109,Barend Botha,+9,F*,+1,72,73,73,289,71,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T109,Bronson Burgoon,+9,F*,+1,72,73,73,289,71,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T117,Dalton Ward,+10,F,E,70,82,68,290,70,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T117,Ryan McCormick,+10,F*,+5,67,77,71,290,75,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T117,Brandon Crick,+10,F*,-1,77,78,66,290,69,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T117,Chris Korte,+10,F,+2,78,71,69,290,72,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T117,Hayden Springer,+10,F*,-2,72,79,71,290,68,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T117,Davis Chatfield,+10,F*,-4,71,82,71,290,66,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T117,Tim Wilkinson,+10,F,+5,71,76,68,290,75,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T124,Seth Reeves,+11,F,+2,76,73,70,291,72,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T124,Sean O'Hair,+11,F,+2,74,74,71,291,72,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T124,Charlie Reiter,+11,F*,-1,74,75,73,291,69,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T124,Riley Lewis,+11,F*,-2,73,79,71,291,68,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T124,Matt Atkins,+11,F*,-5,74,75,77,291,65,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T124,Cooper Musselman,+11,F*,+3,67,76,75,291,73,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T124,Norman Xiong,+11,F*,E,72,73,76,291,70,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T131,Mateo Fernández de Oliveira,+12,F,+4,76,74,68,292,74,,
PGA TOUR Q-School presented by Korn Ferry,Dye's Valley Course,DEC 12 - 15,T131,Owen Stamper,+12,F*,-4,75,73,78,292,66,,
