rank,player,avg,total_sg_putting,measured_rounds,tournament
1,Mackenzie Hughes,2.194,6.583,3,The RSM Classic
2,Nico Echavarria,1.858,5.575,3,The RSM Classic
3,Martin Trainer,1.778,5.333,3,The RSM Classic
4,Eric Cole,1.536,4.608,3,The RSM Classic
5,Kelly Kraft,1.475,4.425,3,The RSM Classic
6,Ryo Hisatsune,1.428,4.283,3,The RSM Classic
7,Christo Lamprecht,1.417,4.250,3,The RSM Classic
8,Jonathan Byrd,1.399,4.196,3,The RSM Classic
9,Chandler Phillips,1.343,4.028,3,The RSM Classic
10,Carson Young,1.341,4.024,3,The RSM Classic
11,Michael Kim,1.331,3.992,3,The RSM Classic
12,Maverick McNealy,1.230,3.689,3,The RSM Classic
13,Robby Shelton,1.140,3.420,3,The RSM Classic
14,Kevin Yu,1.085,3.256,3,The RSM Classic
15,Lucas Glover,1.044,3.131,3,The RSM Classic
16,Denny McCarthy,1.019,3.056,3,The RSM Classic
17,Luke Clanton,0.953,2.860,3,The RSM Classic
18,Vince Whaley,0.896,2.688,3,The RSM Classic
19,Paul Peterson,0.855,2.566,3,The RSM Classic
20,Ben Griffin,0.835,2.504,3,The RSM Classic
21,Blake McShea,0.778,2.334,3,The RSM Classic
22,Taylor Montgomery,0.762,2.286,3,The RSM Classic
23,Taylor Moore,0.695,2.084,3,The RSM Classic
24,Austin Smotherman,0.618,1.853,3,The RSM Classic
25,Michael Thorbjornsen,0.615,1.845,3,The RSM Classic
26,Brian Harman,0.587,1.762,3,The RSM Classic
27,S.H. Kim,0.562,1.687,3,The RSM Classic
28,Adam Svensson,0.478,1.434,3,The RSM Classic
29,Doug Ghim,0.388,1.164,3,The RSM Classic
30,S.Y. Noh,0.369,1.106,3,The RSM Classic
31,J.T. Poston,0.348,1.043,3,The RSM Classic
32,Will Gordon,0.300,0.899,3,The RSM Classic
33,Joseph Bramlett,0.266,0.797,3,The RSM Classic
34,Austin Eckroat,0.263,0.789,3,The RSM Classic
35,Tyson Alexander,0.207,0.622,3,The RSM Classic
36,Callum Tarren,0.190,0.571,3,The RSM Classic
37,Daniel Berger,0.179,0.538,3,The RSM Classic
38,Adam Schenk,0.171,0.513,3,The RSM Classic
39,Patrick Rodgers,0.132,0.396,3,The RSM Classic
40,Marcus Byrd,0.127,0.382,3,The RSM Classic
41,Stewart Cink,0.109,0.328,3,The RSM Classic
42,Andrew Novak,0.061,0.182,3,The RSM Classic
43,Mark Hubbard,0.012,0.036,3,The RSM Classic
44,Hayden Springer,-0.038,-0.114,3,The RSM Classic
45,Ludvig Åberg,-0.205,-0.614,3,The RSM Classic
46,Joel Dahmen,-0.386,-1.157,3,The RSM Classic
47,Martin Laird,-0.390,-1.170,3,The RSM Classic
48,Jake Knapp,-0.417,-1.250,3,The RSM Classic
49,Russell Knox,-0.422,-1.267,3,The RSM Classic
50,Lee Hodges,-0.475,-1.426,3,The RSM Classic
51,Steven Fisk,-0.602,-1.807,3,The RSM Classic
52,Brandon Wu,-0.617,-1.850,3,The RSM Classic
53,Adrien Dumont de Chassart,-0.660,-1.981,3,The RSM Classic
54,Bud Cauley,-0.748,-2.244,3,The RSM Classic
55,Kevin Tway,-0.763,-2.290,3,The RSM Classic
56,Adam Hadwin,-0.766,-2.299,3,The RSM Classic
57,Harris English,-0.807,-2.420,3,The RSM Classic
58,Joe Highsmith,-0.823,-2.469,3,The RSM Classic
59,Matt Wallace,-1.053,-3.159,3,The RSM Classic
60,Henrik Norlander,-1.063,-3.188,3,The RSM Classic
61,Sam Stevens,-1.067,-3.200,3,The RSM Classic
62,Patrick Fishburn,-1.080,-3.241,3,The RSM Classic
63,Lanto Griffin,-1.087,-3.260,3,The RSM Classic
64,Davis Thompson,-1.137,-3.412,3,The RSM Classic
65,Philip Knowles,-1.204,-3.613,3,The RSM Classic
66,Patton Kizzire,-1.259,-3.777,3,The RSM Classic
67,William McGirt,-1.548,-4.643,3,The RSM Classic
68,Garrick Higgo,-1.595,-4.785,3,The RSM Classic
69,Kevin Chappell,-1.853,-5.559,3,The RSM Classic
1,Max Greyserman,2.596,10.383,4,ZOZO CHAMPIONSHIP
2,Rickie Fowler,1.909,7.636,4,ZOZO CHAMPIONSHIP
3,Seamus Power,1.488,5.952,4,ZOZO CHAMPIONSHIP
4,Ryo Ishikawa,1.457,5.829,4,ZOZO CHAMPIONSHIP
5,Ryo Hisatsune,1.392,5.568,4,ZOZO CHAMPIONSHIP
6,Eric Cole,1.208,4.830,4,ZOZO CHAMPIONSHIP
7,Si Woo Kim,1.115,4.461,4,ZOZO CHAMPIONSHIP
8,Nico Echavarria,1.068,4.272,4,ZOZO CHAMPIONSHIP
9,Luke List,0.957,3.829,4,ZOZO CHAMPIONSHIP
10,Gary Woodland,0.921,3.682,4,ZOZO CHAMPIONSHIP
11,Harry Hall,0.820,3.280,4,ZOZO CHAMPIONSHIP
12,Chandler Phillips,0.804,3.215,4,ZOZO CHAMPIONSHIP
13,Naoyuki Kataoka,0.796,3.184,4,ZOZO CHAMPIONSHIP
14,Ryosuke Kinoshita,0.774,3.097,4,ZOZO CHAMPIONSHIP
15,J.J. Spaun,0.756,3.023,4,ZOZO CHAMPIONSHIP
16,Max Homa,0.754,3.017,4,ZOZO CHAMPIONSHIP
17,S.H. Kim,0.752,3.007,4,ZOZO CHAMPIONSHIP
18,Justin Lower,0.693,2.771,4,ZOZO CHAMPIONSHIP
19,Ren Yonezawa,0.692,2.768,4,ZOZO CHAMPIONSHIP
20,Brendon Todd,0.679,2.715,4,ZOZO CHAMPIONSHIP
21,Nate Lashley,0.571,2.284,4,ZOZO CHAMPIONSHIP
22,Jhonattan Vegas,0.563,2.252,4,ZOZO CHAMPIONSHIP
23,Beau Hossler,0.561,2.244,4,ZOZO CHAMPIONSHIP
24,Takumi Kanaya,0.476,1.905,4,ZOZO CHAMPIONSHIP
25,Sam Stevens,0.433,1.733,4,ZOZO CHAMPIONSHIP
26,Will Zalatoris,0.397,1.586,4,ZOZO CHAMPIONSHIP
27,C.T. Pan,0.380,1.518,4,ZOZO CHAMPIONSHIP
28,Taylor Moore,0.377,1.506,4,ZOZO CHAMPIONSHIP
29,Chad Ramey,0.303,1.210,4,ZOZO CHAMPIONSHIP
30,Carson Young,0.278,1.110,4,ZOZO CHAMPIONSHIP
31,Andrew Putnam,0.250,1.001,4,ZOZO CHAMPIONSHIP
32,Sungjae Im,0.226,0.905,4,ZOZO CHAMPIONSHIP
33,Yuta Sugiura,0.225,0.901,4,ZOZO CHAMPIONSHIP
34,Patrick Fishburn,0.208,0.830,4,ZOZO CHAMPIONSHIP
35,Mac Meissner,0.194,0.774,4,ZOZO CHAMPIONSHIP
36,Kurt Kitayama,0.126,0.505,4,ZOZO CHAMPIONSHIP
37,Taisei Shimizu,0.063,0.251,4,ZOZO CHAMPIONSHIP
38,Doug Ghim,0.033,0.131,4,ZOZO CHAMPIONSHIP
39,Rico Hoey,0.019,0.076,4,ZOZO CHAMPIONSHIP
40,Victor Perez,-0.003,-0.011,4,ZOZO CHAMPIONSHIP
41,Xander Schauffele,-0.081,-0.325,4,ZOZO CHAMPIONSHIP
42,Mark Hubbard,-0.091,-0.363,4,ZOZO CHAMPIONSHIP
