rank,player,avg,total_sg_ott,measured_rounds,tournament
1,Austin Eckroat,1.466,4.397,3,The RSM Classic
2,Luke Clanton,1.319,3.957,3,The RSM Classic
3,Kevin Yu,1.290,3.871,3,The RSM Classic
4,Sam Stevens,1.235,3.705,3,The RSM Classic
5,Davis Thompson,1.173,3.520,3,The RSM Classic
6,Joel Dahmen,1.120,3.361,3,The RSM Classic
7,Ben Griffin,1.035,3.105,3,The RSM Classic
8,Joe Highsmith,0.980,2.939,3,The RSM Classic
9,Doug Ghim,0.932,2.796,3,The RSM Classic
10,Stewart Cink,0.902,2.705,3,The RSM Classic
11,Daniel Berger,0.859,2.577,3,The RSM Classic
12,Patrick Rodgers,0.820,2.459,3,The RSM Classic
13,Maverick McNealy,0.782,2.345,3,The RSM Classic
14,Garrick Higgo,0.768,2.305,3,The RSM Classic
15,S.H. Kim,0.759,2.278,3,The RSM Classic
16,Adam Svensson,0.680,2.039,3,The RSM Classic
17,Marcus Byrd,0.670,2.010,3,The RSM Classic
18,Bud Cauley,0.669,2.008,3,The RSM Classic
18,Christo Lamprecht,0.669,2.007,3,The RSM Classic
20,Lucas Glover,0.653,1.960,3,The RSM Classic
21,Chandler Phillips,0.646,1.937,3,The RSM Classic
22,Lee Hodges,0.635,1.906,3,The RSM Classic
23,Taylor Moore,0.614,1.841,3,The RSM Classic
24,Henrik Norlander,0.568,1.705,3,The RSM Classic
25,Carson Young,0.563,1.689,3,The RSM Classic
26,Adrien Dumont de Chassart,0.494,1.482,3,The RSM Classic
27,J.T. Poston,0.480,1.440,3,The RSM Classic
28,Lanto Griffin,0.458,1.375,3,The RSM Classic
29,Martin Laird,0.450,1.350,3,The RSM Classic
30,Brian Harman,0.367,1.101,3,The RSM Classic
31,Patrick Fishburn,0.355,1.066,3,The RSM Classic
32,Nico Echavarria,0.318,0.953,3,The RSM Classic
33,Mark Hubbard,0.234,0.701,3,The RSM Classic
34,Austin Smotherman,0.230,0.690,3,The RSM Classic
35,Patton Kizzire,0.225,0.676,3,The RSM Classic
36,Michael Kim,0.211,0.634,3,The RSM Classic
37,Harris English,0.202,0.605,3,The RSM Classic
38,Kevin Tway,0.094,0.283,3,The RSM Classic
39,Ryo Hisatsune,0.060,0.181,3,The RSM Classic
40,Russell Knox,0.046,0.138,3,The RSM Classic
41,Vince Whaley,-0.003,-0.008,3,The RSM Classic
42,Steven Fisk,-0.051,-0.152,3,The RSM Classic
43,Will Gordon,-0.116,-0.349,3,The RSM Classic
44,Denny McCarthy,-0.138,-0.414,3,The RSM Classic
45,Kelly Kraft,-0.178,-0.533,3,The RSM Classic
46,Joseph Bramlett,-0.197,-0.592,3,The RSM Classic
47,Paul Peterson,-0.226,-0.678,3,The RSM Classic
48,Kevin Chappell,-0.257,-0.771,3,The RSM Classic
49,Ludvig Åberg,-0.265,-0.796,3,The RSM Classic
50,William McGirt,-0.340,-1.020,3,The RSM Classic
51,Michael Thorbjornsen,-0.381,-1.144,3,The RSM Classic
52,Adam Hadwin,-0.412,-1.236,3,The RSM Classic
53,Brandon Wu,-0.436,-1.307,3,The RSM Classic
54,Adam Schenk,-0.458,-1.373,3,The RSM Classic
55,Blake McShea,-0.461,-1.382,3,The RSM Classic
56,Matt Wallace,-0.487,-1.460,3,The RSM Classic
57,S.Y. Noh,-0.523,-1.570,3,The RSM Classic
58,Mackenzie Hughes,-0.607,-1.822,3,The RSM Classic
59,Robby Shelton,-0.698,-2.095,3,The RSM Classic
60,Hayden Springer,-0.903,-2.708,3,The RSM Classic
61,Jonathan Byrd,-0.938,-2.815,3,The RSM Classic
62,Eric Cole,-0.940,-2.820,3,The RSM Classic
63,Andrew Novak,-0.966,-2.899,3,The RSM Classic
64,Jake Knapp,-1.021,-3.062,3,The RSM Classic
65,Taylor Montgomery,-1.117,-3.351,3,The RSM Classic
66,Philip Knowles,-1.118,-3.353,3,The RSM Classic
67,Tyson Alexander,-1.262,-3.787,3,The RSM Classic
68,Martin Trainer,-1.263,-3.789,3,The RSM Classic
69,Callum Tarren,-2.152,-6.455,3,The RSM Classic
1,Taylor Moore,1.032,4.130,4,ZOZO CHAMPIONSHIP
2,Sam Stevens,0.992,3.970,4,ZOZO CHAMPIONSHIP
3,Lee Hodges,0.969,3.878,4,ZOZO CHAMPIONSHIP
4,Harry Hall,0.832,3.329,4,ZOZO CHAMPIONSHIP
5,Mac Meissner,0.787,3.150,4,ZOZO CHAMPIONSHIP
6,Luke List,0.784,3.137,4,ZOZO CHAMPIONSHIP
7,Andrew Novak,0.781,3.124,4,ZOZO CHAMPIONSHIP
8,Doug Ghim,0.755,3.021,4,ZOZO CHAMPIONSHIP
9,Kurt Kitayama,0.741,2.965,4,ZOZO CHAMPIONSHIP
