rank,player,avg,total_sg_arg,measured_rounds,tournament
1,Stewart Cink,1.244,3.731,3,The RSM Classic
2,Mackenzie Hughes,1.158,3.475,3,The RSM Classic
3,Andrew Novak,1.133,3.399,3,The RSM Classic
4,Garrick Higgo,1.070,3.210,3,The RSM Classic
5,Mark Hubbard,0.976,2.929,3,The RSM Classic
6,Adrien Dumont de Chassart,0.971,2.914,3,The RSM Classic
7,Taylor Montgomery,0.860,2.580,3,The RSM Classic
8,Joel Dahmen,0.847,2.541,3,The RSM Classic
9,Bud Cauley,0.775,2.325,3,The RSM Classic
10,Michael Thorbjornsen,0.571,1.714,3,The RSM Classic
11,Matt Wallace,0.562,1.687,3,The RSM Classic
12,William McGirt,0.561,1.684,3,The RSM Classic
13,Denny McCarthy,0.515,1.544,3,The RSM Classic
14,Kevin Yu,0.514,1.541,3,The RSM Classic
15,Joseph Bramlett,0.513,1.539,3,The RSM Classic
16,Paul Peterson,0.494,1.483,3,The RSM Classic
17,Joe Highsmith,0.487,1.462,3,The RSM Classic
18,S.Y. Noh,0.470,1.410,3,The RSM Classic
19,Kevin Chappell,0.461,1.383,3,The RSM Classic
20,Will Gordon,0.453,1.358,3,The RSM Classic
21,Lee Hodges,0.440,1.321,3,The RSM Classic
22,Patrick Fishburn,0.417,1.251,3,The RSM Classic
23,Patton Kizzire,0.415,1.246,3,The RSM Classic
24,Ben Griffin,0.360,1.079,3,The RSM Classic
25,Russell Knox,0.284,0.852,3,The RSM Classic
26,Henrik Norlander,0.249,0.747,3,The RSM Classic
27,Eric Cole,0.248,0.744,3,The RSM Classic
28,Maverick McNealy,0.247,0.741,3,The RSM Classic
29,Adam Schenk,0.199,0.598,3,The RSM Classic
30,Daniel Berger,0.178,0.535,3,The RSM Classic
31,Vince Whaley,0.141,0.424,3,The RSM Classic
32,Brandon Wu,0.107,0.321,3,The RSM Classic
33,J.T. Poston,0.080,0.241,3,The RSM Classic
34,Lucas Glover,0.076,0.229,3,The RSM Classic
35,Martin Laird,0.058,0.173,3,The RSM Classic
36,Harris English,0.053,0.158,3,The RSM Classic
37,Brian Harman,0.046,0.139,3,The RSM Classic
38,Davis Thompson,0.040,0.120,3,The RSM Classic
39,Adam Hadwin,-0.003,-0.010,3,The RSM Classic
40,Tyson Alexander,-0.016,-0.048,3,The RSM Classic
41,Jake Knapp,-0.060,-0.179,3,The RSM Classic
42,Ludvig Åberg,-0.124,-0.372,3,The RSM Classic
43,Hayden Springer,-0.132,-0.397,3,The RSM Classic
44,Kevin Tway,-0.163,-0.490,3,The RSM Classic
45,Austin Smotherman,-0.175,-0.526,3,The RSM Classic
46,Carson Young,-0.198,-0.595,3,The RSM Classic
47,Michael Kim,-0.202,-0.605,3,The RSM Classic
48,Marcus Byrd,-0.206,-0.618,3,The RSM Classic
49,Luke Clanton,-0.232,-0.696,3,The RSM Classic
49,Kelly Kraft,-0.232,-0.696,3,The RSM Classic
49,Martin Trainer,-0.232,-0.697,3,The RSM Classic
52,Callum Tarren,-0.235,-0.705,3,The RSM Classic
