rank,player,total,total_sg_ott_avg,total_sg_apr_avg,total_sg_arg_avg,measured_rounds,tournament
1,Joel Dahmen,2.891,1.120,0.924,0.847,3,The RSM Classic
2,J.T. Poston,2.835,0.480,2.275,0.080,3,The RSM Classic
3,Henrik Norlander,2.579,0.568,1.762,0.249,3,The RSM Classic
4,Maverick McNealy,2.286,0.782,1.258,0.247,3,The RSM Classic
5,Bud Cauley,1.931,0.669,0.487,0.775,3,The RSM Classic
6,Adrien Dumont de Chassart,1.843,0.494,0.378,0.971,3,The RSM Classic
7,Garrick Higgo,1.767,0.768,-0.071,1.070,3,The RSM Classic
8,Stewart Cink,1.730,0.902,-0.416,1.244,3,The RSM Classic
9,Joe Highsmith,1.672,0.980,0.206,0.487,3,The RSM Classic
10,Ben Griffin,1.671,1.035,0.276,0.360,3,The RSM Classic
11,Daniel Berger,1.670,0.859,0.633,0.178,3,The RSM Classic
12,Patrick Fishburn,1.596,0.355,0.824,0.417,3,The RSM Classic
13,Patrick Rodgers,1.384,0.820,0.802,-0.237,3,The RSM Classic
14,Kevin Chappell,1.359,-0.257,1.155,0.461,3,The RSM Classic
15,Sam Stevens,1.249,1.235,0.359,-0.344,3,The RSM Classic
16,Austin Eckroat,1.243,1.466,0.254,-0.477,3,The RSM Classic
17,Hayden Springer,1.221,-0.903,2.256,-0.132,3,The RSM Classic
18,S.Y. Noh,1.147,-0.523,1.201,0.470,3,The RSM Classic
19,Lucas Glover,1.129,0.653,0.399,0.076,3,The RSM Classic
20,Kevin Yu,1.087,1.290,-0.717,0.514,3,The RSM Classic
21,Lee Hodges,0.991,0.635,-0.084,0.440,3,The RSM Classic
22,Mackenzie Hughes,0.978,-0.607,0.427,1.158,3,The RSM Classic
23,Davis Thompson,0.976,1.173,-0.237,0.040,3,The RSM Classic
24,Vince Whaley,0.953,-0.003,0.815,0.141,3,The RSM Classic
25,Michael Thorbjornsen,0.891,-0.381,0.701,0.571,3,The RSM Classic
26,Will Gordon,0.883,-0.116,0.547,0.453,3,The RSM Classic
27,Taylor Moore,0.821,0.614,0.614,-0.406,3,The RSM Classic
28,Eric Cole,0.636,-0.940,1.328,0.248,3,The RSM Classic
29,Brian Harman,0.595,0.367,0.182,0.046,3,The RSM Classic
30,Joseph Bramlett,0.584,-0.197,0.268,0.513,3,The RSM Classic
31,Martin Laird,0.573,0.450,0.065,0.058,3,The RSM Classic
32,Luke Clanton,0.563,1.319,-0.524,-0.232,3,The RSM Classic
33,Michael Kim,0.519,0.211,0.509,-0.202,3,The RSM Classic
34,Chandler Phillips,0.496,0.646,0.491,-0.640,3,The RSM Classic
35,Patton Kizzire,0.431,0.225,-0.209,0.415,3,The RSM Classic
36,Kelly Kraft,0.374,-0.178,0.784,-0.232,3,The RSM Classic
