rank,player,avg,total_sg_t,total_sg_t2g,total_sg_p,measured_rounds,tournament
1,Maverick McNealy,3.516,10.548,6.859,3.689,3,The RSM Classic
2,J.T. Poston,3.183,9.548,8.505,1.043,3,The RSM Classic
3,Mackenzie Hughes,3.172,9.517,2.934,6.583,3,The RSM Classic
4,Joel Dahmen,2.506,7.517,8.674,-1.157,3,The RSM Classic
4,Ben Griffin,2.506,7.517,5.013,2.504,3,The RSM Classic
6,Nico Echavarria,2.183,6.548,.973,5.575,3,The RSM Classic
7,Eric Cole,2.172,6.517,1.909,4.608,3,The RSM Classic
7,Lucas Glover,2.172,6.517,3.386,3.131,3,The RSM Classic
7,Kevin Yu,2.172,6.517,3.261,3.256,3,The RSM Classic
10,Daniel Berger,1.849,5.548,5.010,.538,3,The RSM Classic
10,Michael Kim,1.849,5.548,1.556,3.992,3,The RSM Classic
10,Kelly Kraft,1.849,5.548,1.123,4.425,3,The RSM Classic
10,Vince Whaley,1.849,5.548,2.860,2.688,3,The RSM Classic
14,Stewart Cink,1.839,5.517,5.189,.328,3,The RSM Classic
14,Chandler Phillips,1.839,5.517,1.489,4.028,3,The RSM Classic
16,Luke Clanton,1.516,4.548,1.688,2.860,3,The RSM Classic
16,Taylor Moore,1.516,4.548,2.464,2.084,3,The RSM Classic
16,S.Y. Noh,1.516,4.548,3.442,1.106,3,The RSM Classic
16,Henrik Norlander,1.516,4.548,7.736,-3.188,3,The RSM Classic
16,Patrick Rodgers,1.516,4.548,4.152,.396,3,The RSM Classic
21,Austin Eckroat,1.506,4.517,3.728,.789,3,The RSM Classic
21,Michael Thorbjornsen,1.506,4.517,2.672,1.845,3,The RSM Classic
23,Bud Cauley,1.183,3.548,5.792,-2.244,3,The RSM Classic
23,Adrien Dumont de Chassart,1.183,3.548,5.529,-1.981,3,The RSM Classic
23,Will Gordon,1.183,3.548,2.649,.899,3,The RSM Classic
23,Brian Harman,1.183,3.548,1.786,1.762,3,The RSM Classic
23,Denny McCarthy,1.183,3.548,.492,3.056,3,The RSM Classic
23,Hayden Springer,1.183,3.548,3.662,-.114,3,The RSM Classic
29,Joseph Bramlett,0.849,2.548,1.751,.797,3,The RSM Classic
29,Joe Highsmith,0.849,2.548,5.017,-2.469,3,The RSM Classic
29,Taylor Montgomery,0.849,2.548,.262,2.286,3,The RSM Classic
29,Carson Young,0.849,2.548,-1.476,4.024,3,The RSM Classic
33,Jonathan Byrd,0.839,2.517,-1.679,4.196,3,The RSM Classic
34,Patrick Fishburn,0.516,1.548,4.789,-3.241,3,The RSM Classic
34,Ryo Hisatsune,0.516,1.548,-2.735,4.283,3,The RSM Classic
34,Lee Hodges,0.516,1.548,2.974,-1.426,3,The RSM Classic
37,Adam Schenk,0.506,1.517,1.004,.513,3,The RSM Classic
38,Mark Hubbard,0.183,0.548,.512,.036,3,The RSM Classic
38,S.H. Kim,0.183,0.548,-1.139,1.687,3,The RSM Classic
38,Martin Laird,0.183,0.548,1.718,-1.170,3,The RSM Classic
38,Robby Shelton,0.183,0.548,-2.872,3.420,3,The RSM Classic
38,Austin Smotherman,0.183,0.548,-1.305,1.853,3,The RSM Classic
38,Sam Stevens,0.183,0.548,3.748,-3.200,3,The RSM Classic
44,Marcus Byrd,0.172,0.517,.135,.382,3,The RSM Classic
44,Garrick Higgo,0.172,0.517,5.302,-4.785,3,The RSM Classic
44,Christo Lamprecht,0.172,0.517,-3.733,4.250,3,The RSM Classic
44,Martin Trainer,0.172,0.517,-4.816,5.333,3,The RSM Classic
48,Doug Ghim,-0.151,-0.452,-1.616,1.164,3,The RSM Classic
48,Blake McShea,-0.151,-0.452,-2.786,2.334,3,The RSM Classic
48,Paul Peterson,-0.151,-0.452,-3.018,2.566,3,The RSM Classic
51,Andrew Novak,-0.161,-0.483,-.665,.182,3,The RSM Classic
51,Davis Thompson,-0.161,-0.483,2.929,-3.412,3,The RSM Classic
53,Ludvig Åberg,-0.484,-1.452,-.838,-.614,3,The RSM Classic
53,Adam Svensson,-0.484,-1.452,-2.886,1.434,3,The RSM Classic
