rank,player,percent_fairways,fairways_hit,possible_fairways,tournament
1.0,Brian Harman,0.8571,48.0,56.0,The RSM Classic
1.0,Carson Young,0.8571,48.0,56.0,The RSM Classic
3.0,Luke Clanton,0.8393,47.0,56.0,The RSM Classic
3.0,Joel Dahmen,0.8393,47.0,56.0,The RSM Classic
3.0,Lee Hodges,0.8393,47.0,56.0,The RSM Classic
3.0,Mark Hubbard,0.8393,47.0,56.0,The RSM Classic
7.0,Ryo Hisatsune,0.8036,45.0,56.0,The RSM Classic
7.0,Kelly Kraft,0.8036,45.0,56.0,The RSM Classic
7.0,William McGirt,0.8036,45.0,56.0,The RSM Classic
7.0,Henrik Norlander,0.8036,45.0,56.0,The RSM Classic
7.0,Sam Stevens,0.8036,45.0,56.0,The RSM Classic
7.0,Davis Thompson,0.8036,45.0,56.0,The RSM Classic
13.0,Daniel Berger,0.7857,44.0,56.0,The RSM Classic
13.0,Doug Ghim,0.7857,44.0,56.0,The RSM Classic
15.0,Lanto Griffin,0.7679,43.0,56.0,The RSM Classic
15.0,Joe Highsmith,0.7679,43.0,56.0,The RSM Classic
15.0,Michael Kim,0.7679,43.0,56.0,The RSM Classic
18.0,Stewart Cink,0.75,42.0,56.0,The RSM Classic
18.0,Austin Eckroat,0.75,42.0,56.0,The RSM Classic
18.0,Patrick Fishburn,0.75,42.0,56.0,The RSM Classic
18.0,Taylor Moore,0.75,42.0,56.0,The RSM Classic
18.0,Paul Peterson,0.75,42.0,56.0,The RSM Classic
18.0,Adam Svensson,0.75,42.0,56.0,The RSM Classic
24.0,Marcus Byrd,0.7321,41.0,56.0,The RSM Classic
24.0,Lucas Glover,0.7321,41.0,56.0,The RSM Classic
24.0,Philip Knowles,0.7321,41.0,56.0,The RSM Classic
24.0,Russell Knox,0.7321,41.0,56.0,The RSM Classic
24.0,Chandler Phillips,0.7321,41.0,56.0,The RSM Classic
24.0,Patrick Rodgers,0.7321,41.0,56.0,The RSM Classic
24.0,Austin Smotherman,0.7321,41.0,56.0,The RSM Classic
24.0,Kevin Yu,0.7321,41.0,56.0,The RSM Classic
