rank,player,avg,total_sg_app,measured_rounds,tournament
1,J.T. Poston,2.275,6.825,3,The RSM Classic
2,Hayden Springer,2.256,6.768,3,The RSM Classic
3,Henrik Norlander,1.762,5.285,3,The RSM Classic
4,Callum Tarren,1.379,4.138,3,The RSM Classic
5,Eric Cole,1.328,3.985,3,The RSM Classic
6,Maverick McNealy,1.258,3.774,3,The RSM Classic
7,S.Y. Noh,1.201,3.603,3,The RSM Classic
8,Kevin Chappell,1.155,3.464,3,The RSM Classic
9,Joel Dahmen,0.924,2.772,3,The RSM Classic
10,Patrick Fishburn,0.824,2.473,3,The RSM Classic
11,Vince Whaley,0.815,2.445,3,The RSM Classic
12,Patrick Rodgers,0.802,2.405,3,The RSM Classic
13,Kelly Kraft,0.784,2.353,3,The RSM Classic
14,Jonathan Byrd,0.757,2.270,3,The RSM Classic
15,Michael Thorbjornsen,0.701,2.102,3,The RSM Classic
16,Daniel Berger,0.633,1.899,3,The RSM Classic
17,Taylor Moore,0.614,1.842,3,The RSM Classic
18,Adam Schenk,0.593,1.779,3,The RSM Classic
19,Will Gordon,0.547,1.641,3,The RSM Classic
20,Michael Kim,0.509,1.528,3,The RSM Classic
21,Chandler Phillips,0.491,1.473,3,The RSM Classic
22,Bud Cauley,0.487,1.460,3,The RSM Classic
23,Mackenzie Hughes,0.427,1.281,3,The RSM Classic
24,Lucas Glover,0.399,1.197,3,The RSM Classic
25,Adrien Dumont de Chassart,0.378,1.134,3,The RSM Classic
26,Sam Stevens,0.359,1.076,3,The RSM Classic
27,Nico Echavarria,0.351,1.054,3,The RSM Classic
28,Taylor Montgomery,0.345,1.034,3,The RSM Classic
29,Ben Griffin,0.276,0.829,3,The RSM Classic
30,Joseph Bramlett,0.268,0.805,3,The RSM Classic
31,Austin Eckroat,0.254,0.763,3,The RSM Classic
32,Blake McShea,0.225,0.675,3,The RSM Classic
33,Joe Highsmith,0.206,0.617,3,The RSM Classic
34,Brian Harman,0.182,0.547,3,The RSM Classic
35,Philip Knowles,0.163,0.489,3,The RSM Classic
36,Brandon Wu,0.128,0.385,3,The RSM Classic
37,Ludvig Åberg,0.110,0.331,3,The RSM Classic
38,Martin Laird,0.065,0.196,3,The RSM Classic
39,Adam Hadwin,0.031,0.094,3,The RSM Classic
40,Kevin Tway,0.015,0.046,3,The RSM Classic
41,Robby Shelton,0.002,0.007,3,The RSM Classic
42,Garrick Higgo,-0.071,-0.213,3,The RSM Classic
43,Lee Hodges,-0.084,-0.252,3,The RSM Classic
44,Martin Trainer,-0.110,-0.330,3,The RSM Classic
45,William McGirt,-0.157,-0.472,3,The RSM Classic
46,Patton Kizzire,-0.209,-0.628,3,The RSM Classic
47,Denny McCarthy,-0.212,-0.637,3,The RSM Classic
