rank,player,avg,total_distance,total_drives,tournament
1,Christo Lamprecht,314.1,"2,513",8,The RSM Classic
2,Adrien Dumont de Chassart,310.5,"2,484",8,The RSM Classic
3,Luke Clanton,306.5,"2,452",8,The RSM Classic
4,Joseph Bramlett,305.5,"2,444",8,The RSM Classic
5,Ludvig Åberg,304.3,"2,434",8,The RSM Classic
6,Jake Knapp,304.1,"2,433",8,The RSM Classic
7,Steven Fisk,303.3,"2,426",8,The RSM Classic
8,Vince Whaley,302.6,"2,421",8,The RSM Classic
9,Michael Thorbjornsen,301.0,"2,408",8,The RSM Classic
10,Kevin Yu,300.9,"2,407",8,The RSM Classic
11,Davis Thompson,299.4,"2,395",8,The RSM Classic
12,Taylor Moore,299.3,"2,394",8,The RSM Classic
13,Bud Cauley,299.0,"2,392",8,The RSM Classic
14,Will Gordon,298.5,"2,388",8,The RSM Classic
15,Michael Kim,298.1,"2,385",8,The RSM Classic
16,Joe Highsmith,297.0,"2,376",8,The RSM Classic
17,Blake McShea,296.9,"2,375",8,The RSM Classic
18,Austin Eckroat,295.9,"2,367",8,The RSM Classic
19,Marcus Byrd,295.4,"2,363",8,The RSM Classic
20,Maverick McNealy,295.3,"2,362",8,The RSM Classic
21,Kevin Chappell,295.1,"2,361",8,The RSM Classic
21,Mackenzie Hughes,295.1,"2,361",8,The RSM Classic
23,Callum Tarren,294.6,"2,357",8,The RSM Classic
24,S.H. Kim,294.3,"2,354",8,The RSM Classic
25,Tyson Alexander,293.5,"2,348",8,The RSM Classic
26,Andrew Novak,293.1,"2,345",8,The RSM Classic
26,Adam Schenk,293.1,"2,345",8,The RSM Classic
28,Garrick Higgo,293.0,"2,344",8,The RSM Classic
29,Nico Echavarria,292.8,"2,342",8,The RSM Classic
30,Adam Hadwin,292.6,"2,341",8,The RSM Classic
30,Sam Stevens,292.6,"2,341",8,The RSM Classic
32,Harris English,292.4,"2,339",8,The RSM Classic
33,Stewart Cink,292.0,"2,336",8,The RSM Classic
34,Chandler Phillips,291.6,"2,333",8,The RSM Classic
35,J.T. Poston,291.4,"2,331",8,The RSM Classic
36,Patrick Fishburn,291.3,"2,330",8,The RSM Classic
37,Patrick Rodgers,291.0,"2,328",8,The RSM Classic
38,Hayden Springer,290.6,"2,325",8,The RSM Classic
39,S.Y. Noh,290.3,"2,322",8,The RSM Classic
40,Matt Wallace,289.6,"2,317",8,The RSM Classic
41,Philip Knowles,289.5,"2,316",8,The RSM Classic
42,Mark Hubbard,289.4,"2,315",8,The RSM Classic
43,Daniel Berger,289.3,"2,314",8,The RSM Classic
43,Doug Ghim,289.3,"2,314",8,The RSM Classic
,Field Average,289.0,,,The RSM Classic
45,Martin Trainer,288.8,"2,310",8,The RSM Classic
46,Ben Griffin,288.0,"2,304",8,The RSM Classic
47,Henrik Norlander,287.9,"2,303",8,The RSM Classic
48,Lee Hodges,287.6,"2,301",8,The RSM Classic
49,Patton Kizzire,286.5,"2,292",8,The RSM Classic
50,Eric Cole,286.1,"2,289",8,The RSM Classic
50,Austin Smotherman,286.1,"2,289",8,The RSM Classic
52,Lanto Griffin,285.0,"2,280",8,The RSM Classic
52,Martin Laird,285.0,"2,280",8,The RSM Classic
54,Kevin Tway,284.6,"2,277",8,The RSM Classic
55,Taylor Montgomery,284.3,"2,274",8,The RSM Classic
56,Ryo Hisatsune,284.0,"2,272",8,The RSM Classic
57,Carson Young,282.8,"2,262",8,The RSM Classic
58,Joel Dahmen,281.9,"2,255",8,The RSM Classic
59,Robby Shelton,281.5,"2,252",8,The RSM Classic
60,Adam Svensson,279.6,"2,237",8,The RSM Classic
61,Brandon Wu,277.0,"2,216",8,The RSM Classic
62,Denny McCarthy,276.5,"2,212",8,The RSM Classic
63,Lucas Glover,276.0,"2,208",8,The RSM Classic
